Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,075,VIRAL MENINGITIS WITH CC/MCC,405,90887.498765,16239.397531,12814.804938
National,,National,076,VIRAL MENINGITIS WITHOUT CC/MCC,73,45169.547945,9455.4383562,6515.1917808
National,,National,077,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,1529,69897.644212,14146.3983,11920.293002
National,,National,078,HYPERTENSIVE ENCEPHALOPATHY WITH CC,1884,49861.948514,8503.5408705,6527.9442675
National,,National,079,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,249,38414.349398,6638.2650602,4610.2570281
National,,National,080,NONTRAUMATIC STUPOR AND COMA WITH MCC,1009,86328.179386,19763.900892,16689.836472
National,,National,081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,450,40353.417778,8465.9355556,6237.0177778
National,,National,082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,9539,104345.30894,22916.05944,19606.620505
National,,National,083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,9200,63981.072391,13117.990326,10520.988804
National,,National,084,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,3639,46529.464413,9215.7348173,6792.2522671
National,,National,085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,9410,95740.58916,20854.475664,17976.00255
National,,National,086,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,12241,61898.133159,11680.933747,9376.921575
National,,National,087,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,5294,44738.140536,8260.6063468,6080.7482055
National,,National,088,CONCUSSION WITH MCC,522,68829.758621,13955.398467,11365.915709
National,,National,089,CONCUSSION WITH CC,1168,58022.94863,10497.020548,7498.4606164
National,,National,090,CONCUSSION WITHOUT CC/MCC,361,48843.714681,7857.3601108,5586.1246537
National,,National,091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,15147,73495.797254,16151.769195,13517.505051
National,,National,092,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,18017,46418.728867,9415.4975856,7360.6409502
National,,National,093,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,5151,40219.222481,7481.9840808,5575.4568045
National,,National,094,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,1356,152528.34735,34834.187316,29780.179204
National,,National,095,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,1101,101451.86467,23123.089918,18849.690282
National,,National,096,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,303,104734.51155,21647.237624,17095.640264
National,,National,097,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,1758,159914.45449,37851.42719,31294.192264
National,,National,098,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,1102,100839.99274,22046.657895,16952.650635
National,,National,099,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,270,66209.340741,13605.233333,9270.8518519
National,,National,100,SEIZURES WITH MCC,23510,86918.717354,18011.428924,15138.330413
National,,National,101,SEIZURES WITHOUT MCC,26935,44029.667422,8805.1370707,6612.6448858
National,,National,102,HEADACHES WITH MCC,975,57273.250256,11539.998974,8834.4758974
National,,National,103,HEADACHES WITHOUT MCC,5696,43271.49526,8708.1731039,5702.9076545
National,,National,113,ORBITAL PROCEDURES WITH CC/MCC,410,122676.19024,26627.946341,21424.856098
National,,National,114,ORBITAL PROCEDURES WITHOUT CC/MCC,77,65897.363636,14899.350649,12057.064935
National,,National,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,646,76974.551084,16945.078947,12572.944272
National,,National,116,INTRAOCULAR PROCEDURES WITH CC/MCC,374,87488.179144,22275.168449,17817.502674
National,,National,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,107,58478.691589,13982.504673,9282.9439252
National,,National,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,570,53122.124561,14491.478947,10898.580702
National,,National,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,132,29262.371212,8477.4166667,5197.719697
National,,National,123,NEUROLOGICAL EYE DISORDERS,2992,43923.84492,7952.6898396,5477.1029412
National,,National,124,OTHER DISORDERS OF THE EYE WITH MCC,994,58409.68008,14406.421529,11764.445674
National,,National,125,OTHER DISORDERS OF THE EYE WITHOUT MCC,2638,40882.099697,8735.3714936,6468.7808946
National,,National,135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,226,131904.31416,26541.548673,22090.495575
National,,National,136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,86,56536.011628,12759.77907,9701.9186047
National,,National,137,MOUTH PROCEDURES WITH CC/MCC,478,70414.205021,16317.502092,12432.259414
National,,National,138,MOUTH PROCEDURES WITHOUT CC/MCC,193,46026.994819,9727.3264249,6698.7875648
National,,National,139,SALIVARY GLAND PROCEDURES,216,61902.166667,12517.75463,9771.8194444
National,,National,140,MAJOR HEAD AND NECK PROCEDURES WITH MCC,657,187630.78234,44200.219178,37302.015221
National,,National,141,MAJOR HEAD AND NECK PROCEDURES WITH CC,2205,112616.68617,24034.814512,19259.778231
National,,National,142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,1186,84392.940135,16965.535413,13307.932546
National,,National,143,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC",717,156341.33054,33213.708508,27635.253835
National,,National,144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",1336,90820.958084,18557.467066,14495.024701
National,,National,145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",855,67633.014035,13248.208187,9739.7438596
National,,National,146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",1182,95845.919628,22669.499154,18639.214044
National,,National,147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",646,56891.843653,13372.352941,10721.886997
National,,National,148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",135,42395.37037,9205.8296296,6932.8518519
National,,National,149,DYSEQUILIBRIUM,12317,39404.271251,6853.7039864,5006.4701632
National,,National,150,EPISTAXIS WITH MCC,850,52974.385882,12183.004706,10318.62
National,,National,151,EPISTAXIS WITHOUT MCC,1405,32314.487544,6916.9857651,5205.0676157
National,,National,152,OTITIS MEDIA AND URI WITH MCC,1624,50818.12069,11402.209975,8829.2820197
National,,National,153,OTITIS MEDIA AND URI WITHOUT MCC,3016,32732.310676,7036.0795756,4871.9814324
National,,National,154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",1913,68449.969681,15200.077365,12681.240983
National,,National,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",2898,43025.873706,8892.2857143,6726.1242236
National,,National,156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",819,30331.399267,6461.4334554,4478.1782662
National,,National,157,DENTAL AND ORAL DISEASES WITH MCC,1548,73402.205426,16422.540698,13621.419251
National,,National,158,DENTAL AND ORAL DISEASES WITH CC,2465,43085.444219,9100.5484787,6715.1951318
National,,National,159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,559,33540.137746,7155.3703041,4975.4132379
National,,National,163,MAJOR CHEST PROCEDURES WITH MCC,11815,199034.59179,43644.833178,37616.834109
National,,National,164,MAJOR CHEST PROCEDURES WITH CC,14388,117286.87608,24270.275855,19749.02933
National,,National,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,6680,92079.045509,18130.058683,14169.756886
National,,National,166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,8764,162266.0105,35726.259242,30369.736764
National,,National,167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,4590,87435.929412,17117.376906,13569.684749
National,,National,168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1557,69145.456005,13051.732177,9848.1740527
National,,National,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,29021,58912.856862,13279.451053,10905.490748
National,,National,176,PULMONARY EMBOLISM WITHOUT MCC,17821,37629.097582,8030.7363784,5918.8415353
National,,National,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,276186,64862.321957,18154.138077,15676.704576
National,,National,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,50870,39863.988559,11548.01437,9525.8798309
National,,National,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,10363,31600.504873,8804.983499,6942.9653575
National,,National,180,RESPIRATORY NEOPLASMS WITH MCC,15302,78049.289701,16227.71422,13558.431839
National,,National,181,RESPIRATORY NEOPLASMS WITH CC,5549,52706.043611,10514.419355,8340.111011
National,,National,182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,275,38891.287273,8017.4109091,6225.1818182
National,,National,183,MAJOR CHEST TRAUMA WITH MCC,4501,71165.332371,14927.682959,12109.990002
National,,National,184,MAJOR CHEST TRAUMA WITH CC,8860,50604.763995,10192.041986,7476.5410835
National,,National,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,2092,36985.514818,7619.6543977,5295.9392925
National,,National,186,PLEURAL EFFUSION WITH MCC,7933,64417.684735,13494.166267,11297.395689
National,,National,187,PLEURAL EFFUSION WITH CC,4073,44331.678861,9164.261478,7337.4623128
National,,National,188,PLEURAL EFFUSION WITHOUT CC/MCC,589,35665.308998,6687.5602716,4944.6298812
National,,National,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,87477,51670.261726,11400.333436,9365.9224368
National,,National,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,61033,45359.694313,9978.8819983,8037.4217882
National,,National,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,21861,35975.375006,7942.1036549,6166.7516125
National,,National,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,5907,27700.673438,6298.1046216,4539.0333503
National,,National,193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,123532,53245.857195,11133.486481,9150.0619516
National,,National,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,45035,34532.152726,7615.234884,5776.7144221
National,,National,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,8533,26925.680886,6015.9722255,4195.2191492
National,,National,196,INTERSTITIAL LUNG DISEASE WITH MCC,9261,79943.571537,16633.364863,13770.797646
National,,National,197,INTERSTITIAL LUNG DISEASE WITH CC,1649,44970.869012,9494.5379018,7279.5785324
National,,National,198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,333,37175.876877,7190.7927928,5169.3393393
National,,National,199,PNEUMOTHORAX WITH MCC,7056,72140.856576,15971.183107,13347.119331
National,,National,200,PNEUMOTHORAX WITH CC,8778,47841.048416,10215.97357,7553.2852586
National,,National,201,PNEUMOTHORAX WITHOUT CC/MCC,1173,29013.323956,7030.2872975,4684.9897698
National,,National,202,BRONCHITIS AND ASTHMA WITH CC/MCC,15939,41319.472865,8921.1907899,6779.1164439
National,,National,203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,2352,30903.210459,6731.7189626,4677.0607993
National,,National,204,RESPIRATORY SIGNS AND SYMPTOMS,4617,39306.620966,7648.302794,5784.2869829
National,,National,205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,9673,78994.49602,18127.291223,14320.13243
National,,National,206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,6289,43165.333439,9004.7330259,6753.4846557
National,,National,207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,17788,272661.12137,60344.3264,52894.243423
National,,National,208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,35196,116748.64149,24270.782163,21075.052165
National,,National,215,OTHER HEART ASSIST SYSTEM IMPLANT,3917,445645.93464,93107.677049,84389.385754
National,,National,216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,5686,454545.81287,96584.278931,84533.534119
National,,National,217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,1830,296653.84536,59132.028415,50612.108743
National,,National,218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,320,260434.91563,51486.146875,44136.3375
National,,National,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,13251,365763.22308,80496.330315,68447.735643
National,,National,220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,10607,244179.70095,50887.974262,41840.102951
National,,National,221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,1445,204321.80969,40992.07128,33757.259516
National,,National,222,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MC",1625,339552.48554,72129.234462,61536.241846
National,,National,223,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT",268,233761.90672,45666.854478,42252.406716
National,,National,224,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",1738,319624.6588,66844.60817,58773.481588
National,,National,225,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",1203,221908.16126,47776.176226,40254.187032
National,,National,226,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,3728,269673.65048,57167.430526,51391.739539
National,,National,227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,2702,209911.40637,44490.371207,38785.696151
National,,National,228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,4390,224840.51367,48100.793622,43696.556036
National,,National,229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,5329,145101.0152,28987.03359,25563.407206
National,,National,231,CORONARY BYPASS WITH PTCA WITH MCC,773,391037.41009,80692.142303,66881.316947
National,,National,232,CORONARY BYPASS WITH PTCA WITHOUT MCC,432,286825.89352,53391.12963,43171.025463
National,,National,233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,10118,346527.25746,67115.658035,56649.100613
National,,National,234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,9726,235045.26445,44148.564364,36086.033621
National,,National,235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,10924,263222.22675,53908.330465,44871.251465
National,,National,236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,15624,184090.52426,35502.058116,28245.422491
National,,National,239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,7369,183305.43412,41914.331117,36736.350658
National,,National,240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,5682,111381.67811,23893.515312,20161.163675
National,,National,241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,392,57491.760204,13290.068878,11197.278061
National,,National,242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,16059,148637.49299,30883.924466,27665.03512
National,,National,243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,19038,103252.81526,20486.729961,17789.499895
National,,National,244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,9608,84170.514883,16819.175687,13973.216694
National,,National,245,AICD GENERATOR PROCEDURES,792,208048.00884,47371.670455,41652.659091
National,,National,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,42452,153153.08124,27432.993287,23425.638792
National,,National,247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,57028,104658.35425,17183.21144,13287.057516
National,,National,248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERI,550,156122.92545,27280.647273,24111.254545
National,,National,249,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC,552,91865.853261,15653.266304,12575.773551
National,,National,250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC,3692,120105.13191,21606.251354,18525.886241
National,,National,251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC,3322,90180.000301,14536.276641,11415.666165
National,,National,252,OTHER VASCULAR PROCEDURES WITH MCC,21816,151623.52274,31706.582829,28065.157453
National,,National,253,OTHER VASCULAR PROCEDURES WITH CC,17496,119624.1849,23585.556299,20051.972965
National,,National,254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,7014,82628.917593,15904.657257,12663.107927
National,,National,255,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC,1321,104012.89023,23286.245269,20259.15897
National,,National,256,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC,1226,69329.651713,14257.5,11842.051387
National,,National,257,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC,62,43186.467742,10221.887097,8268.483871
National,,National,258,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,604,124645.7947,28129.860927,24599.639073
National,,National,259,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC,711,84578.390999,17591.662447,14963.237693
National,,National,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,2601,149865.0446,33041.875048,28775.46213
